status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
387386548007364_1390373157708693,Get more information and tips on #menstruating at https://lovematters.co.ke/,Timeline Photos,photo,https://www.facebook.com/LoveMattersAfrica/photos/a.390673737678645.94223.387386548007364/1390373157708693/?type=3,https://www.facebook.com/LoveMattersAfrica/posts/1390373157708693:0,2017-06-12 07:59:25,32,0,0,32,0,0,0,0,0
387386548007364_1390001797745829,"My #girlfriend has her #period for two days only. Please, I need a #solution to this problem. It wasn't like that in the beginning. #AskShangazi",How long should periods last?,link,https://lovematters.co.ke/our-bodies/female-body/how-long-should-periods-last,https://www.facebook.com/LoveMattersAfrica/posts/1390001797745829,2017-06-12 05:00:51,76,24,0,76,0,0,0,0,0
387386548007364_1390002394412436,Do you agree #TeamLoveMatters? Have a great Monday morning ahead.,Timeline Photos,photo,https://www.facebook.com/LoveMattersAfrica/photos/a.390673737678645.94223.387386548007364/1390002394412436/?type=3,https://www.facebook.com/LoveMattersAfrica/posts/1390002394412436:0,2017-06-12 02:00:45,349,11,91,348,0,1,0,0,0
387386548007364_1389134784499197,Have a good night #TeamLoveMatters.,Timeline Photos,photo,https://www.facebook.com/LoveMattersAfrica/photos/a.390673737678645.94223.387386548007364/1389134784499197/?type=3,https://www.facebook.com/LoveMattersAfrica/posts/1389134784499197:0,2017-06-11 14:00:06,139,2,9,138,1,0,0,0,0
387386548007364_1389489631130379,"Here's some #tips on  #foreplay, everything that gets you in the #mood for #intercourse…",Foreplay: turning up the heat,link,https://lovematters.co.ke/making-love/ways-to-make-love/foreplay-turning-up-the-heat,https://www.facebook.com/LoveMattersAfrica/posts/1389489631130379,2017-06-11 11:56:20,191,0,8,189,2,0,0,0,0
387386548007364_1389134124499263,"Get your movie tickets to The Mummy ONLY on KenyaBuzz
http://bit.ly/2qWWAzq",Timeline Photos,photo,https://www.facebook.com/LoveMattersAfrica/photos/a.390673737678645.94223.387386548007364/1389134124499263/?type=3,https://www.facebook.com/LoveMattersAfrica/posts/1389134124499263:0,2017-06-11 04:33:02,43,0,1,42,1,0,0,0,0
387386548007364_1389042337841775,Decide to be #happy #TeamLoveMatters and enjoy your Sunday morning.,Timeline Photos,photo,https://www.facebook.com/LoveMattersAfrica/photos/a.390673737678645.94223.387386548007364/1389042337841775/?type=3,https://www.facebook.com/LoveMattersAfrica/posts/1389042337841775:0,2017-06-11 02:00:05,336,5,69,335,1,0,0,0,0
387386548007364_1388033607942648,Is this really true? Have a good night #TeamLoveMatters.,Timeline Photos,photo,https://www.facebook.com/LoveMattersAfrica/photos/a.390673737678645.94223.387386548007364/1388033607942648/?type=3,https://www.facebook.com/LoveMattersAfrica/posts/1388033607942648:0,2017-06-10 14:00:29,700,38,210,691,7,0,2,0,0
387386548007364_1388034284609247,"The most #romantic thing, with the right person at the #righttime. Or… tongues tickle, saliva drips and teeth clash. So how do you do it right?",Kissing: top five facts,link,https://lovematters.co.ke/making-love/kissing-top-five-facts,https://www.facebook.com/LoveMattersAfrica/posts/1388034284609247,2017-06-10 10:00:47,186,2,5,184,1,1,0,0,0
387386548007364_1388032977942711,Get more information and tips on #kissing at https://lovematters.co.ke/,Timeline Photos,photo,https://www.facebook.com/LoveMattersAfrica/photos/a.390673737678645.94223.387386548007364/1388032977942711/?type=3,https://www.facebook.com/LoveMattersAfrica/posts/1388032977942711:0,2017-06-10 05:00:21,62,0,4,62,0,0,0,0,0
